what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1241495560449
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1241495560473
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1241495562490
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241495565350
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241495566971
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241495574979
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241495578695
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241495580913
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241495632544
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.refresh,1241495635896
started,bundle,org.eclipse.emf.ecore.xmi,2.4.1.v200902171115,org.eclipse.emf.ecore.xmi,1241495637173
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241495642577
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241495650173
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241495651174
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241495678686
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241495681011
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241498498476
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241498502105
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1241498503576
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1241498503802
started,bundle,org.eclipse.mylyn.pde.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.pde.ui,1241498503909
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1241498503958
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241498504518
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1241498506334
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1241498506360
